Label_ID,IPC,IPC description,BNS
0,IPC 107,Abetment of a thing,BNS 45
1,IPC 109,"Punishment of abetment if the act abetted is
committed in consequence and where no express
provision is made for its punishment.",BNS 49
2,IPC 114,Abettor present when offence is committed.,BNS 54
3,IPC 120,Concealing design to commit offence punishable with imprisonment.,BNS 60
4,IPC 120B,Punishment of criminal conspiracy,BNS 61(2)
5,IPC 13,NA,NA
6,IPC 143,Punishment,BNS 189 (2) 
7,IPC 147,Punishment for rioting,BNS 191 (2)
8,IPC 148,"Rioting, armed with deadly weapon",BNS 191 (3)
9,IPC 149,"Every member of unlawful assembly guilty of
offence committed in prosecution of common object.",BNS 190
10,IPC 155,"Liability of person for whose benefit riot is
committed.",BNS 193 (2)
11,IPC 156,"Liability of agent of owner or occupier for whose
benefit riot is committed.",BNS 193 (3)
12,IPC 161,NA,NA
13,IPC 164,NA,NA
14,IPC 173,"Preventing service of summons or other
proceeding, or preventing publication thereof",BNS 207
15,IPC 174A,"Non-attendance in obedience to an order from
public servant.",BNS 208
16,IPC 186,"Obstructing public servant in discharge of public
functions.",BNS 221
17,IPC 188,"Disobedience to order duly promulgated by
public servant.",BNS 223
18,IPC 190,"Threat of injury to induce person to refrain from
applying for protection to public servant.",BNS 225
19,IPC 193,Punishment for false evidence,BNS 229
20,IPC 2,Punishment of offences committed within India.,BNS 1(3)
21,IPC 200,"Using as true such declaration knowing it to be
false.",BNS 237
22,IPC 201,"Causing disappearance of evidence of offence,
or giving false information to screen offender",BNS 238
23,IPC 228,"Intentional insult or interruption to public
servant sitting in judicial proceeding",BNS 267
24,IPC 229A,"Failure by person released on bail or bond to
appear in court",BNS 269
25,IPC 279,Rash driving or riding on a public way,BNS 281
26,IPC 294,Obscene acts and songs,BNS 296
27,IPC 294B,"""sings, recites or utters any obscene song, ballad or words"" in or near a public place",BNS 296
28,IPC 299,Culpable homicide,BNS 100
29,IPC 3,"Punishment of offences committed beyond, but
which by law may be tried within, India",BNS 1(4) 
30,IPC 300,Murder,BNS 101
31,IPC 302,Punishment for murder.,BNS 103
32,IPC 304,"Punishment for culpable homicide not
amounting to murder.",BNS 105
33,IPC 304A,Causing death by negligence,BNS 106.
34,IPC 304B,Dowry death.,BNS 80
35,IPC 306, Abetment of suicide.,BNS 108
36,IPC 307,Attempt to murder,BNS 109
37,IPC 308,Attempt to commit culpable homicide,BNS 110
38,IPC 313,Causing miscarriage without woman's consent.,BNS 89
39,IPC 320,Grievous hurt.,BNS 116
40,IPC 323,Punishment for voluntarily causing hurt.,BNS 115(2)
41,IPC 324,"Voluntarily causing hurt by dangerous weapons
or means.",BNS 118(1)
42,IPC 325,"Punishment for voluntarily causing grievous
hurt.",BNS 117(2)
